aggregation,dataset,f,scheme,target_FLR_mean,inner_FLR_mean,bias_FLR_mean,bias_FLR_SE,target_MMR_mean,inner_MMR_mean,bias_MMR_mean,bias_MMR_SE,n_splits
primary_3_seeds,DBLP,0.5,SRSWOR_65_35,0.017888263276959877,0.021979118168753864,0.004090854891793986,0.00395561065035439,0.014353033391241573,0.012702659687108412,-0.0016503737041331605,0.0016689239206455334,3
primary_3_seeds,DBLP,0.5,bootstrap_OOB,0.017888263276959877,0.021696615754505988,0.00380835247754611,0.007354110163340713,0.014353033391241573,0.01879493409665826,0.004441900705416686,0.001630275170715231,3
primary_3_seeds,DBLP,0.6,SRSWOR_65_35,0.019478660368175655,0.034731783281510276,0.015253122913334619,0.004052523241585579,0.013767442129851074,0.014708276768590952,0.0009408346387398773,0.0024342516696811,3
primary_3_seeds,DBLP,0.6,bootstrap_OOB,0.019478660368175655,0.0261579698527451,0.006679309484569444,0.0051025994273172295,0.013767442129851074,0.016323780733777566,0.0025563386039264926,0.002279239651405977,3
primary_3_seeds,DBLP,0.7,SRSWOR_65_35,0.014665879220025305,0.021304543104836315,0.0066386638848110096,0.00937171596068127,0.014668830899386531,0.012463205177140798,-0.0022056257222457334,0.004451641549876537,3
primary_3_seeds,DBLP,0.7,bootstrap_OOB,0.014665879220025305,0.019984300745243083,0.005318421525217776,0.00731074631124469,0.014668830899386531,0.017584772544746736,0.002915941645360206,0.0020994519431358125,3
primary_3_seeds,DBLP,0.8,SRSWOR_65_35,0.017767544679352782,0.015360014638291878,-0.002407530041060905,0.008101184259654075,0.012401821227043697,0.02077409195197244,0.008372270724928743,0.006102785682025653,3
primary_3_seeds,DBLP,0.8,bootstrap_OOB,0.017767544679352782,0.025707386484876322,0.00793984180552354,0.008427009090059015,0.012401821227043697,0.018408600531888197,0.006006779304844501,0.006191115819219581,3
primary_3_seeds,DBLP,0.9,SRSWOR_65_35,0.01526048870447209,0.018485266671408745,0.003224777966936654,0.0016951055496036733,0.020635692293446306,0.019360004147013037,-0.0012756881464332699,0.005347647820024861,3
primary_3_seeds,DBLP,0.9,bootstrap_OOB,0.01526048870447209,0.023738878211081376,0.008478389506609285,0.006815756756155169,0.020635692293446306,0.017387833828218586,-0.003247858465227719,0.00400924436737264,3
primary_3_seeds,ECOM,0.5,SRSWOR_65_35,0.04106021530067731,0.03951408792049227,-0.00154612738018504,0.006409646085159509,0.1521873074553296,0.18165784832451504,0.029470540869185435,0.03026213097809039,3
primary_3_seeds,ECOM,0.5,bootstrap_OOB,0.04106021530067731,0.02215022632752006,-0.01890998897315725,0.007359939902157548,0.1521873074553296,0.17048572401833273,0.018298416563003128,0.006734376839114901,3
primary_3_seeds,ECOM,0.6,SRSWOR_65_35,0.03839788451309426,0.02583699264381789,-0.012560891869276372,0.005458919349349774,0.17090069284064666,0.17180616740088106,0.0009054745602344131,0.011392339173940525,3
primary_3_seeds,ECOM,0.6,bootstrap_OOB,0.03839788451309426,0.03448613414409437,-0.003911750368999896,0.0016103082665224167,0.17090069284064666,0.17317850098232992,0.002277808141683287,0.009089168399423555,3
primary_3_seeds,ECOM,0.7,SRSWOR_65_35,0.02845681547268401,0.028794034436209242,0.00033721896352523206,0.007777902021002458,0.16205128205128205,0.1522012578616352,-0.009850024189646867,0.00449222517957462,3
primary_3_seeds,ECOM,0.7,bootstrap_OOB,0.02845681547268401,0.030401991507141735,0.0019451760344577258,0.011619349984408472,0.16205128205128205,0.1538593012147472,-0.008191980836534865,0.009072174815990403,3
primary_3_seeds,ECOM,0.8,SRSWOR_65_35,0.0363039738039738,0.03365037572130484,-0.002653598082668962,0.009844387947465182,0.1858678955453149,0.1562156215621562,-0.02965227398315869,0.03746177382838154,3
primary_3_seeds,ECOM,0.8,bootstrap_OOB,0.0363039738039738,0.03678080801606631,0.00047683421209251026,0.008460595895823953,0.1858678955453149,0.1690765614559675,-0.01679133408934741,0.015486561210745908,3
primary_3_seeds,ECOM,0.9,SRSWOR_65_35,0.0431136382163528,0.02894697976665191,-0.014166658449700886,0.0062617644766039746,0.1896024464831804,0.1485826001955034,-0.041019846287677,0.02710642711555591,3
primary_3_seeds,ECOM,0.9,bootstrap_OOB,0.0431136382163528,0.027493507108745097,-0.015620131107607701,0.00947907587939346,0.1896024464831804,0.14407919241988365,-0.04552325406329675,0.016128122912267517,3
