analysis,bias_FLR,bias_MMR,created_at,dataset,dataset_display,direct_threshold,direct_threshold_sigmoid_equivalent,fraction,inner_FLR,inner_MMR,inner_correct,inner_declared,inner_false_links,inner_legacy_psi,inner_missing_matches,inner_n_true_records,inner_test_size,inner_train_draw_size,inner_train_unique_size,inner_unmatched_abstentions,legacy_analysis22_threshold,model_path,n_fit_pairs,n_train_pairs_total,n_validation_pairs,outer_holdout_size,outer_labelled_size,prediction_path,role,scheme,score_path,seed,source_analysis18_direct_cell,source_analysis22_cell,source_analysis22_prediction,target_FLR,target_MMR,target_legacy_psi,training_performed,validation_f1
analysis22_section332_bias_direct,0.011809505259057218,-0.003769305114499244,2026-09-25 10:14:03,DBLP,DBLP-Scholar,0.9000000000000002,0.710949502625004,0.5,0.025882352941176467,0.011933174224343701,414,425,11,0.002386634844868735,1,419,458,850,850,32,0.8500000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_42,30443,38054,7611,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed42_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,42,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed42.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed42_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed42_SRSWOR_65_35.csv,0.01407284768211925,0.015702479338842945,0.012396694214876033,False,0.91875
analysis22_section332_bias_direct,0.0017339924306788435,0.001642591143053651,2026-09-25 10:14:14,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.5,0.025700934579439227,0.014184397163120588,417,428,11,0.0070921985815602835,3,423,458,850,850,27,0.20000000000000004,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_43,30832,38541,7709,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed43_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,43,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed43.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed43_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed43_SRSWOR_65_35.csv,0.023966942148760384,0.012541806020066937,0.006688963210702341,False,0.9473684210526315
analysis22_section332_bias_direct,-0.001270933014354103,-0.0028244071409538885,2026-09-25 10:14:24,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.5,0.014354066985645897,0.011990407673860948,412,418,6,0.007194244604316547,3,417,458,850,850,37,0.8000000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_44,30293,37867,7574,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed44_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,44,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed44.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed44_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed44_SRSWOR_65_35.csv,0.015625,0.014814814814814836,0.009876543209876543,False,0.9329073482428115
analysis22_section332_bias_direct,0.004810567045108294,0.0027369288222811594,2026-09-25 10:14:34,DBLP,DBLP-Scholar,0.25000000000000006,0.5621765008857981,0.5,0.018779342723004744,0.011820330969267157,418,426,8,0.004728132387706856,2,423,458,850,850,30,0.6000000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_45,30248,37810,7562,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed45_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,45,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed45.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed45_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed45_SRSWOR_65_35.csv,0.01396877567789645,0.009083402146985997,0.00495458298926507,False,0.926984126984127
analysis22_section332_bias_direct,-0.006623731459797,0.007689453849608507,2026-09-25 10:14:44,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.5,0.011709601873536313,0.018604651162790753,422,427,5,0.013953488372093023,6,430,458,850,850,25,0.1,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_46,30729,38412,7683,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed46_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,46,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed46.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed46_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed46_SRSWOR_65_35.csv,0.018333333333333313,0.010915197313182246,0.007556675062972292,False,0.9137380191693291
analysis22_section332_bias_direct,-5.392579810181708e-05,-0.007103218645948983,2026-09-25 10:14:54,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.5,0.016393442622950838,0.0117647058823529,420,427,7,0.004705882352941176,2,425,458,850,850,29,0.9000000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_47,29829,37287,7458,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed47_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,47,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed47.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed47_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed47_SRSWOR_65_35.csv,0.016447368421052655,0.018867924528301883,0.011484823625922888,False,0.9174311926605505
analysis22_section332_bias_direct,-0.003117945574462322,-0.004651529485966588,2026-09-25 10:15:04,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.5,0.014251781472684133,0.011904761904761862,415,421,6,0.009523809523809525,4,420,458,850,850,33,0.8500000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_48,30443,38054,7611,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed48_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,48,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed48.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed48_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed48_SRSWOR_65_35.csv,0.017369727047146455,0.01655629139072845,0.01076158940397351,False,0.9148264984227129
analysis22_section332_bias_direct,0.018276853182513597,-0.001841861868298933,2026-09-25 10:15:14,DBLP,DBLP-Scholar,0.8000000000000002,0.6899744811276125,0.5,0.03301886792452835,0.009661835748792313,410,424,14,0.0,0,414,458,850,850,34,0.7500000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_49,30326,37908,7582,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed49_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,49,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed49.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed49_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed49_SRSWOR_65_35.csv,0.014742014742014753,0.011503697617091246,0.004108463434675432,False,0.9294871794871795
analysis22_section332_bias_direct,-0.007191393867110318,-0.006378667881277167,2026-09-25 10:15:24,DBLP,DBLP-Scholar,0.8000000000000002,0.6899744811276125,0.5,0.011848341232227444,0.011848341232227444,417,422,5,0.0071090047393364926,3,422,458,850,850,33,0.7000000000000002,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_50,30380,37976,7596,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed50_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,50,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed50.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed50_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed50_SRSWOR_65_35.csv,0.019039735099337762,0.01822700911350461,0.008285004142502071,False,0.9196141479099679
analysis22_section332_bias_direct,0.008970099667774178,-0.0028373266078184356,2026-09-25 10:15:34,DBLP,DBLP-Scholar,0.1,0.52497918747894,0.5,0.023255813953488413,0.016393442622950838,420,430,10,0.00936768149882904,4,427,458,850,850,24,0.20000000000000004,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_51,30600,38250,7650,1308,1308,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias_direct/predictions/direct_DBLP_f0p50_seed51_SRSWOR_65_35.csv,inner,SRSWOR_65_35,CrossEncoder.predict,51,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/cells/direct_DBLP_f0p50_seed51.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/cells/inner_DBLP_f0p50_seed51_SRSWOR_65_35.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed51_SRSWOR_65_35.csv,0.014285714285714235,0.019230769230769273,0.013377926421404682,False,0.9400630914826499
