dataset,n_true_records,n_truth_pairs,n_multi_match_records,mean_best_rank,median_best_rank,p90_best_rank,p95_best_rank,p99_best_rank,p999_best_rank,max_best_rank,fraction_rank1
DBLP,2408,5347,1238,2.9630398671096345,1.0,1.0,1.0,2.0,31.79000000000906,4514,0.9846345514950167
ECOM,1081,1097,16,3.0693802035152635,1.0,5.0,8.0,23.200000000000045,117.7200000000048,748,0.7298797409805735
