correct,dataset,declared,evaluation_seconds,false_links,fraction,lambda,missing_matches,model_loaded_from_checkpoint,model_path,n_fit_pairs,n_holdout,n_labelled_a,n_train_pairs_total,n_true_records,n_validation_pairs,prediction_path,psi,score_path,seed,threshold,train_seconds_this_run,unmatched_abstentions,validation_f1
939,DBLP,956,26.727585077285767,17,0.6,0.01778242677824268,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_46,56920,1047,1569,71151,950,14231,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed46.csv,0.008421052631578947,sigmoid(CrossEncoder.predict),46,0.8000000000000002,482.10556983947754,83,0.9084745762711864
953,DBLP,974,26.451152801513672,21,0.6,0.021560574948665298,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_47,56130,1047,1569,70163,970,14033,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed47.csv,0.008247422680412371,sigmoid(CrossEncoder.predict),47,0.20000000000000004,458.49295234680176,65,0.9572649572649573
953,DBLP,967,26.333380222320557,14,0.6,0.014477766287487074,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_48,56111,1047,1569,70139,969,14028,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed48.csv,0.008255933952528379,sigmoid(CrossEncoder.predict),48,0.5500000000000002,421.1273798942566,72,0.9290540540540541
961,DBLP,976,26.269315004348755,15,0.6,0.015368852459016393,4,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_49,56067,1047,1569,70084,972,14017,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed49.csv,0.00411522633744856,sigmoid(CrossEncoder.predict),49,0.8500000000000002,400.56777930259705,67,0.9306260575296108
946,DBLP,971,26.345911741256714,25,0.6,0.025746652935118436,6,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_50,56388,1047,1569,70486,963,14098,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed50.csv,0.006230529595015576,sigmoid(CrossEncoder.predict),50,0.20000000000000004,485.3094184398651,70,0.933786078098472
939,DBLP,963,26.211017847061157,24,0.6,0.024922118380062305,10,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_51,56659,1047,1569,70824,957,14165,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed51.csv,0.01044932079414838,sigmoid(CrossEncoder.predict),51,0.25000000000000006,425.2732467651367,74,0.9324324324324325
714,DBLP,722,20.23237133026123,8,0.7,0.0110803324099723,10,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_42,65647,785,1831,82059,727,16412,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed42.csv,0.013755158184319119,sigmoid(CrossEncoder.predict),42,0.8000000000000002,476.47444200515747,53,0.9401197604790419
711,DBLP,727,19.934168338775635,16,0.7,0.02200825309491059,6,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_43,65802,785,1831,82253,723,16451,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed43.csv,0.008298755186721992,sigmoid(CrossEncoder.predict),43,0.6000000000000002,514.8453545570374,52,0.9397944199706314
725,DBLP,731,19.65288472175598,6,0.7,0.008207934336525308,6,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_44,65394,785,1831,81743,733,16349,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed44.csv,0.008185538881309686,sigmoid(CrossEncoder.predict),44,0.20000000000000004,544.8304078578949,48,0.9358600583090378
720,DBLP,730,20.559261083602905,10,0.7,0.0136986301369863,4,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_45,65636,785,1831,82046,727,16410,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed45.csv,0.005502063273727648,sigmoid(CrossEncoder.predict),45,0.9000000000000002,501.1802327632904,51,0.9179856115107914
704,DBLP,714,19.899614334106445,10,0.7,0.014005602240896359,7,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_46,66243,785,1831,82804,712,16561,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed46.csv,0.009831460674157303,sigmoid(CrossEncoder.predict),46,0.9000000000000002,513.7970998287201,64,0.9246376811594202
715,DBLP,725,19.5803644657135,10,0.7,0.013793103448275862,10,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_47,65510,785,1831,81888,729,16378,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed47.csv,0.013717421124828532,sigmoid(CrossEncoder.predict),47,0.9000000000000002,546.085253238678,50,0.9376854599406528
714,DBLP,718,19.738374710083008,4,0.7,0.005571030640668524,11,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_48,65550,785,1831,81938,728,16388,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed48.csv,0.01510989010989011,sigmoid(CrossEncoder.predict),48,0.7000000000000002,513.5549583435059,56,0.9420505200594353
717,DBLP,725,19.666155576705933,8,0.7,0.011034482758620689,6,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p70/seed_49,65709,785,1831,82137,725,16428,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p70_seed49.csv,0.008275862068965517,sigmoid(CrossEncoder.predict),49,0.8000000000000002,546.5566649436951,54,0.9321533923303835
