dataset,seed,model,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,threshold,alternative_valid_links,runtime_seconds
ECOM,48,CE_legacy,0.026200873362445413,0.1534195933456562,458,446,12,83,541,0.7500000000000002,3.0,200.1565854549408
ECOM,48,LR_rebuilt,0.19133574007220217,0.4879852125693161,277,224,53,264,541,0.20000000000000004,,200.1565854549408
ECOM,49,CE_direct,0.03404255319148936,0.13123844731977818,470,454,16,71,541,0.25000000000000006,4.0,203.96285772323608
ECOM,49,CE_legacy,0.03455723542116631,0.14417744916820702,463,447,16,78,541,0.8000000000000002,4.0,203.96285772323608
ECOM,49,LR_rebuilt,0.2703488372093023,0.36414048059149723,344,251,93,197,541,0.15000000000000002,,203.96285772323608
ECOM,50,CE_direct,0.04487179487179487,0.13493530499075784,468,447,21,73,541,0.7500000000000002,2.0,201.68257570266724
ECOM,50,CE_legacy,0.04112554112554113,0.14602587800369685,462,443,19,79,541,0.8500000000000002,2.0,201.68257570266724
ECOM,50,LR_rebuilt,0.22295081967213115,0.43622920517560076,305,237,68,236,541,0.20000000000000004,,201.68257570266724
ECOM,51,CE_direct,0.04384133611691023,0.11460258780036968,479,458,21,62,541,0.6000000000000002,2.0,213.3471965789795
ECOM,51,CE_legacy,0.04219409282700422,0.12384473197781885,474,454,20,67,541,0.8000000000000002,2.0,213.3471965789795
ECOM,51,LR_rebuilt,0.24584717607973422,0.4436229205175601,301,227,74,240,541,0.20000000000000004,,213.3471965789795
