dataset,seed,seed_role,column,side,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,n_unmatched_records,abstained_unmatched,lr_threshold
DBLP,46,diagnostic,forced-1:1,string,MEC,0.02865064695009242,0.109151973131822,1082,1051,31,130,1191,117,96,
DBLP,46,diagnostic,forced-1:1,string,LR,0.01975540921919097,0.1200671704450042,1063,1042,21,143,1191,117,102,0.6000000000000002
DBLP,46,diagnostic,forced-1:1,bi-encoder,MEC,0.018796992481203006,0.11167086481947942,1064,1044,20,133,1191,117,111,
DBLP,46,diagnostic,forced-1:1,bi-encoder,LR,0.0352622061482821,0.08396305625524769,1106,1067,39,100,1191,117,102,0.40000000000000013
DBLP,46,diagnostic,k=5,string,MEC,0.04019688269073011,0.0109151973131822,1219,1170,49,13,1191,117,76,
DBLP,46,diagnostic,k=5,string,LR,0.034071550255536626,0.042821158690176324,1174,1134,40,51,1191,117,83,0.5000000000000001
DBLP,46,diagnostic,k=5,bi-encoder,MEC,0.020938023450586266,0.012594458438287154,1194,1169,25,15,1191,117,99,
DBLP,46,diagnostic,k=5,bi-encoder,LR,0.02168256721595837,0.04785894206549118,1153,1128,25,57,1191,117,98,0.3500000000000001
DBLP,46,diagnostic,k=50,string,MEC,0.05,0.0033585222502099076,1240,1178,62,4,1191,117,64,
DBLP,46,diagnostic,k=50,string,LR,0.034158838599487616,0.04617968094038623,1171,1131,40,55,1191,117,82,0.30000000000000004
DBLP,46,diagnostic,k=50,bi-encoder,MEC,0.0432300163132137,0.006717044500419815,1226,1173,53,8,1191,117,74,
DBLP,46,diagnostic,k=50,bi-encoder,LR,0.016666666666666666,0.054575986565911,1140,1121,19,65,1191,117,103,0.30000000000000004
DBLP,47,diagnostic,forced-1:1,string,MEC,0.023787740164684355,0.1140278917145201,1093,1067,26,139,1219,89,76,
DBLP,47,diagnostic,forced-1:1,string,LR,0.026102610261026102,0.09844134536505332,1111,1082,29,120,1219,89,77,0.5000000000000001
DBLP,47,diagnostic,forced-1:1,bi-encoder,MEC,0.02585410895660203,0.11648892534864644,1083,1055,28,142,1219,89,83,
DBLP,47,diagnostic,forced-1:1,bi-encoder,LR,0.032015065913371,0.13043478260869565,1062,1028,34,159,1219,89,87,0.5000000000000001
DBLP,47,diagnostic,k=5,string,MEC,0.03165584415584415,0.009844134536505332,1232,1193,39,12,1219,89,64,
DBLP,47,diagnostic,k=5,string,LR,0.02385008517887564,0.051681706316652996,1174,1146,28,63,1219,89,71,0.5500000000000002
DBLP,47,diagnostic,k=5,bi-encoder,MEC,0.020610057708161583,0.01394585726004922,1213,1188,25,17,1219,89,78,
DBLP,47,diagnostic,k=5,bi-encoder,LR,0.014873140857392825,0.06480721903199343,1143,1126,17,79,1219,89,86,0.45000000000000007
DBLP,47,diagnostic,k=50,string,MEC,0.04313099041533546,0.004101722723543888,1252,1198,54,5,1219,89,51,
DBLP,47,diagnostic,k=50,string,LR,0.016814159292035398,0.08367514356029532,1130,1111,19,102,1219,89,76,0.5500000000000002
DBLP,47,diagnostic,k=50,bi-encoder,MEC,0.03864734299516908,0.004101722723543888,1242,1194,48,5,1219,89,61,
DBLP,47,diagnostic,k=50,bi-encoder,LR,0.015706806282722512,0.06398687448728466,1146,1128,18,78,1219,89,84,0.30000000000000004
DBLP,48,diagnostic,forced-1:1,string,MEC,0.029304029304029304,0.10844370860927152,1092,1060,32,131,1208,100,85,
DBLP,48,diagnostic,forced-1:1,string,LR,0.03208556149732621,0.0869205298013245,1122,1086,36,105,1208,100,81,0.45000000000000007
DBLP,48,diagnostic,forced-1:1,bi-encoder,MEC,0.023593466424682397,0.09271523178807947,1102,1076,26,112,1208,100,94,
DBLP,48,diagnostic,forced-1:1,bi-encoder,LR,0.04284412032816773,0.10099337748344371,1097,1050,47,122,1208,100,89,0.45000000000000007
DBLP,48,diagnostic,k=5,string,MEC,0.03824247355573637,0.012417218543046357,1229,1182,47,15,1208,100,64,
DBLP,48,diagnostic,k=5,string,LR,0.034071550255536626,0.052152317880794705,1174,1134,40,63,1208,100,71,0.5000000000000001
DBLP,48,diagnostic,k=5,bi-encoder,MEC,0.027227722772277228,0.014072847682119206,1212,1179,33,17,1208,100,79,
DBLP,48,diagnostic,k=5,bi-encoder,LR,0.008976660682226212,0.07781456953642384,1114,1104,10,94,1208,100,100,0.6500000000000001
DBLP,48,diagnostic,k=50,string,MEC,0.052673583399840386,0.005794701986754967,1253,1187,66,7,1208,100,48,
DBLP,48,diagnostic,k=50,string,LR,0.039595619208087615,0.046357615894039736,1187,1140,47,56,1208,100,65,0.25000000000000006
DBLP,48,diagnostic,k=50,bi-encoder,MEC,0.047275641025641024,0.0033112582781456954,1248,1189,59,4,1208,100,56,
DBLP,48,diagnostic,k=50,bi-encoder,LR,0.009945750452079566,0.08443708609271523,1106,1095,11,102,1208,100,100,0.6000000000000002
DBLP,49,diagnostic,forced-1:1,string,MEC,0.03225806451612903,0.09778142974527526,1116,1080,36,119,1217,91,73,
DBLP,49,diagnostic,forced-1:1,string,LR,0.03171806167400881,0.07888249794576828,1135,1099,36,96,1217,91,77,0.5000000000000001
DBLP,49,diagnostic,forced-1:1,bi-encoder,MEC,0.029649595687331536,0.0895645028759244,1113,1080,33,109,1217,91,86,
DBLP,49,diagnostic,forced-1:1,bi-encoder,LR,0.041589648798521256,0.114215283483977,1082,1037,45,139,1217,91,87,0.5500000000000002
DBLP,49,diagnostic,k=5,string,MEC,0.03231017770597738,0.00657354149548069,1238,1198,40,8,1217,91,62,
DBLP,49,diagnostic,k=5,string,LR,0.017933390264730998,0.04683648315529992,1171,1150,21,57,1217,91,80,0.6000000000000002
DBLP,49,diagnostic,k=5,bi-encoder,MEC,0.02293202293202293,0.009038619556285949,1221,1193,28,11,1217,91,76,
DBLP,49,diagnostic,k=5,bi-encoder,LR,0.013961605584642234,0.0599835661462613,1146,1130,16,73,1217,91,89,0.6000000000000002
DBLP,49,diagnostic,k=50,string,MEC,0.03980891719745223,0.0,1256,1206,50,0,1217,91,52,
DBLP,49,diagnostic,k=50,string,LR,0.02689075630252101,0.04026294165981923,1190,1158,32,49,1217,91,69,0.30000000000000004
DBLP,49,diagnostic,k=50,bi-encoder,MEC,0.04083266613290633,0.0024650780608052587,1249,1198,51,3,1217,91,56,
DBLP,49,diagnostic,k=50,bi-encoder,LR,0.014655172413793103,0.05012325390304026,1160,1143,17,61,1217,91,87,0.30000000000000004
