dataset,seed,seed_role,column,side,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,n_unmatched_records,abstained_unmatched,lr_threshold
ECOM,49,diagnostic,k=50,string,MEC,0.44798301486199577,0.12939001848428835,471,260,211,70,541,0,0,
ECOM,49,diagnostic,k=50,string,LR,0.33222591362126247,0.4436229205175601,301,201,100,240,541,0,0,0.15000000000000002
ECOM,49,diagnostic,k=50,bi-encoder,MEC,0.3236434108527132,0.04621072088724584,516,349,167,25,541,0,0,
ECOM,49,diagnostic,k=50,bi-encoder,LR,0.2703488372093023,0.36414048059149723,344,251,93,197,541,0,0,0.15000000000000002
ECOM,50,diagnostic,forced-1:1,string,MEC,0.24029126213592233,0.23844731977818853,412,313,99,129,541,0,0,
ECOM,50,diagnostic,forced-1:1,string,LR,0.27037037037037037,0.0018484288354898336,540,394,146,1,541,0,0,0.3500000000000001
ECOM,50,diagnostic,forced-1:1,bi-encoder,MEC,0.20303030303030303,0.3900184842883549,330,263,67,211,541,0,0,
ECOM,50,diagnostic,forced-1:1,bi-encoder,LR,0.2665406427221172,0.022181146025878003,529,388,141,12,541,0,0,0.40000000000000013
ECOM,50,diagnostic,k=5,string,MEC,0.3707093821510298,0.1922365988909427,437,275,162,104,541,0,0,
ECOM,50,diagnostic,k=5,string,LR,0.3623853211009174,0.19408502772643252,436,278,158,105,541,0,0,0.20000000000000004
ECOM,50,diagnostic,k=5,bi-encoder,MEC,0.2638888888888889,0.20147874306839186,432,318,114,109,541,0,0,
ECOM,50,diagnostic,k=5,bi-encoder,LR,0.21782178217821782,0.4399260628465804,303,237,66,238,541,0,0,0.30000000000000004
ECOM,50,diagnostic,k=50,string,MEC,0.4427645788336933,0.14417744916820702,463,258,205,78,541,0,0,
ECOM,50,diagnostic,k=50,string,LR,0.27419354838709675,0.6561922365988909,186,135,51,355,541,0,0,0.20000000000000004
ECOM,50,diagnostic,k=50,bi-encoder,MEC,0.30210325047801145,0.033271719038817,523,365,158,18,541,0,0,
ECOM,50,diagnostic,k=50,bi-encoder,LR,0.22295081967213115,0.43622920517560076,305,237,68,236,541,0,0,0.20000000000000004
ECOM,51,diagnostic,forced-1:1,string,MEC,0.2679900744416873,0.25508317929759705,403,295,108,138,541,0,0,
ECOM,51,diagnostic,forced-1:1,string,LR,0.2833333333333333,0.0018484288354898336,540,387,153,1,541,0,0,0.3500000000000001
ECOM,51,diagnostic,forced-1:1,bi-encoder,MEC,0.24,0.39926062846580407,325,247,78,216,541,0,0,
ECOM,51,diagnostic,forced-1:1,bi-encoder,LR,0.28677839851024206,0.0073937153419593345,537,383,154,4,541,0,0,0.3500000000000001
ECOM,51,diagnostic,k=5,string,MEC,0.38181818181818183,0.1866913123844732,440,272,168,101,541,0,0,
ECOM,51,diagnostic,k=5,string,LR,0.32646048109965636,0.46210720887245843,291,196,95,250,541,0,0,0.30000000000000004
ECOM,51,diagnostic,k=5,bi-encoder,MEC,0.28741092636579574,0.22181146025878004,421,300,121,120,541,0,0,
ECOM,51,diagnostic,k=5,bi-encoder,LR,0.23588039867109634,0.4436229205175601,301,230,71,240,541,0,0,0.30000000000000004
ECOM,51,diagnostic,k=50,string,MEC,0.46436285097192226,0.14417744916820702,463,248,215,78,541,0,0,
ECOM,51,diagnostic,k=50,string,LR,0.3393939393939394,0.3900184842883549,330,218,112,211,541,0,0,0.15000000000000002
ECOM,51,diagnostic,k=50,bi-encoder,MEC,0.3346153846153846,0.038817005545286505,520,346,174,21,541,0,0,
ECOM,51,diagnostic,k=50,bi-encoder,LR,0.24584717607973422,0.4436229205175601,301,227,74,240,541,0,0,0.20000000000000004
