dataset,seed,quartile,model,n_records,declared,correct,false_links,missing_matches,n_true_records,lambda,psi
DBLP,51,Q4,cross-encoder,327,327,327,0,0,327,0.0,0.0
DBLP,42,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,43,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,44,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,45,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,46,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,47,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,48,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,49,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,50,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,51,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
ECOM,42,Q1,cross-encoder,136,119,110,9,17,136,0.07563025210084033,0.125
ECOM,43,Q1,cross-encoder,136,112,101,11,24,136,0.09821428571428571,0.17647058823529413
ECOM,44,Q1,cross-encoder,136,106,99,7,30,136,0.0660377358490566,0.22058823529411764
ECOM,45,Q1,cross-encoder,136,104,92,12,32,136,0.11538461538461539,0.23529411764705882
ECOM,46,Q1,cross-encoder,136,116,108,8,20,136,0.06896551724137931,0.14705882352941177
ECOM,47,Q1,cross-encoder,136,110,105,5,26,136,0.045454545454545456,0.19117647058823528
ECOM,48,Q1,cross-encoder,136,103,99,4,33,136,0.038834951456310676,0.2426470588235294
ECOM,49,Q1,cross-encoder,136,107,99,8,29,136,0.07476635514018691,0.21323529411764705
ECOM,50,Q1,cross-encoder,136,108,98,10,28,136,0.09259259259259259,0.20588235294117646
ECOM,51,Q1,cross-encoder,136,111,103,8,25,136,0.07207207207207207,0.18382352941176472
ECOM,42,Q1,two-step LR,136,47,25,22,89,136,0.46808510638297873,0.6544117647058824
ECOM,43,Q1,two-step LR,136,26,12,14,110,136,0.5384615384615384,0.8088235294117647
ECOM,44,Q1,two-step LR,136,39,14,25,97,136,0.6410256410256411,0.7132352941176471
ECOM,45,Q1,two-step LR,136,20,9,11,116,136,0.55,0.8529411764705882
ECOM,46,Q1,two-step LR,136,29,14,15,107,136,0.5172413793103449,0.7867647058823529
ECOM,47,Q1,two-step LR,136,31,16,15,105,136,0.4838709677419355,0.7720588235294118
ECOM,48,Q1,two-step LR,136,27,13,14,109,136,0.5185185185185185,0.8014705882352942
ECOM,49,Q1,two-step LR,136,40,22,18,96,136,0.45,0.7058823529411765
ECOM,50,Q1,two-step LR,136,35,17,18,101,136,0.5142857142857142,0.7426470588235294
ECOM,51,Q1,two-step LR,136,35,12,23,101,136,0.6571428571428571,0.7426470588235294
ECOM,42,Q2,cross-encoder,135,120,116,4,15,135,0.03333333333333333,0.1111111111111111
ECOM,43,Q2,cross-encoder,135,116,110,6,19,135,0.05172413793103448,0.14074074074074075
ECOM,44,Q2,cross-encoder,135,117,111,6,18,135,0.05128205128205128,0.13333333333333333
ECOM,45,Q2,cross-encoder,135,118,109,9,17,135,0.07627118644067797,0.1259259259259259
ECOM,46,Q2,cross-encoder,135,120,115,5,15,135,0.041666666666666664,0.1111111111111111
ECOM,47,Q2,cross-encoder,135,110,108,2,25,135,0.01818181818181818,0.18518518518518517
ECOM,48,Q2,cross-encoder,135,118,113,5,17,135,0.0423728813559322,0.1259259259259259
ECOM,49,Q2,cross-encoder,135,115,112,3,20,135,0.02608695652173913,0.14814814814814814
ECOM,50,Q2,cross-encoder,135,115,111,4,20,135,0.034782608695652174,0.14814814814814814
ECOM,51,Q2,cross-encoder,135,120,114,6,15,135,0.05,0.1111111111111111
ECOM,42,Q2,two-step LR,135,74,45,29,61,135,0.3918918918918919,0.45185185185185184
ECOM,43,Q2,two-step LR,135,31,22,9,104,135,0.2903225806451613,0.7703703703703704
ECOM,44,Q2,two-step LR,135,69,40,29,66,135,0.42028985507246375,0.4888888888888889
ECOM,45,Q2,two-step LR,135,38,23,15,97,135,0.39473684210526316,0.7185185185185186
ECOM,46,Q2,two-step LR,135,46,25,21,89,135,0.45652173913043476,0.6592592592592592
ECOM,47,Q2,two-step LR,135,39,24,15,96,135,0.38461538461538464,0.7111111111111111
ECOM,48,Q2,two-step LR,135,37,20,17,98,135,0.4594594594594595,0.725925925925926
ECOM,49,Q2,two-step LR,135,60,36,24,75,135,0.4,0.5555555555555556
ECOM,50,Q2,two-step LR,135,47,25,22,88,135,0.46808510638297873,0.6518518518518519
ECOM,51,Q2,two-step LR,135,49,29,20,86,135,0.40816326530612246,0.6370370370370371
ECOM,42,Q3,cross-encoder,135,121,116,5,14,135,0.04132231404958678,0.1037037037037037
ECOM,43,Q3,cross-encoder,135,122,119,3,13,135,0.02459016393442623,0.0962962962962963
ECOM,44,Q3,cross-encoder,135,116,114,2,19,135,0.017241379310344827,0.14074074074074075
ECOM,45,Q3,cross-encoder,135,118,117,1,17,135,0.00847457627118644,0.1259259259259259
ECOM,46,Q3,cross-encoder,135,120,116,4,15,135,0.03333333333333333,0.1111111111111111
ECOM,47,Q3,cross-encoder,135,120,117,3,15,135,0.025,0.1111111111111111
ECOM,48,Q3,cross-encoder,135,113,110,3,22,135,0.02654867256637168,0.16296296296296298
ECOM,49,Q3,cross-encoder,135,119,116,3,16,135,0.025210084033613446,0.11851851851851852
ECOM,50,Q3,cross-encoder,135,116,112,4,19,135,0.034482758620689655,0.14074074074074075
ECOM,51,Q3,cross-encoder,135,117,113,4,18,135,0.03418803418803419,0.13333333333333333
ECOM,42,Q3,two-step LR,135,123,92,31,12,135,0.25203252032520324,0.08888888888888889
