dataset,f,scheme,target_FLR_mean,bias_FLR_mean,bias_FLR_SE,target_MMR_mean,bias_MMR_mean,bias_MMR_SE,n_splits
DBLP,0.5,SRSWOR_65_35,0.018303820806471895,0.0011916471651770648,0.0028171333087424347,0.008116653646666486,-0.0024407785142598524,0.0011786530509342505,10
DBLP,0.5,bootstrap_OOB,0.018303820806471895,0.0017834467040566166,0.0021196275574263093,0.008116653646666486,0.0033279609963043468,0.0014715947609500138,10
DBLP,0.6,SRSWOR_65_35,0.018457428553019097,0.006246615009606564,0.0033649985440100077,0.00829499603137582,-0.001977571239388528,0.0019291271883473662,10
DBLP,0.6,bootstrap_OOB,0.018457428553019097,0.0034917448905909545,0.0029919102072195345,0.00829499603137582,-0.0018385231268322586,0.0019745683258511064,10
DBLP,0.7,SRSWOR_65_35,0.013288593200886439,0.006033659492563227,0.0034985707993936735,0.010913497841162878,-0.003320065096043892,0.002012724427800685,10
DBLP,0.7,bootstrap_OOB,0.013288593200886439,0.010538264726162807,0.003303094956300605,0.010913497841162878,-0.0011598837126674693,0.0014787994445329725,10
DBLP,0.8,SRSWOR_65_35,0.015923782348517018,0.0024422365346811943,0.0037957357139033147,0.010574659171414666,0.00026709209968846356,0.002079885348524478,10
DBLP,0.8,bootstrap_OOB,0.015923782348517018,0.008631872463418958,0.004218206527697737,0.010574659171414666,-0.004927559195099575,0.002136292313938661,10
DBLP,0.9,SRSWOR_65_35,0.01582324486477067,0.0020580761322626763,0.004013755887279652,0.010784372903678185,-0.001435374871450211,0.0020634271232641095,10
DBLP,0.9,bootstrap_OOB,0.01582324486477067,0.004404056069398993,0.0022834726821360325,0.010784372903678185,-0.0016593124840423717,0.0018649591552067524,10
ECOM,0.5,SRSWOR_65_35,0.03773772166639387,0.0021035275158466957,0.0034678243942846995,0.1321626617375231,0.0016997721249107519,0.014991899967721857,10
ECOM,0.5,bootstrap_OOB,0.03773772166639387,0.0027006750949922905,0.005791055356718192,0.1321626617375231,0.0019296602867612076,0.007662738562762537,10
ECOM,0.6,SRSWOR_65_35,0.03540793606245311,-0.0019274332345009053,0.006593569872411567,0.13348729792147807,0.01541138049261886,0.013995412330471649,10
ECOM,0.6,bootstrap_OOB,0.03540793606245311,0.004517227789854436,0.007335315769837348,0.13348729792147807,-0.008841180181065587,0.014140858746468626,10
ECOM,0.7,SRSWOR_65_35,0.03204756461790503,0.00503896242139758,0.008677026232460304,0.13107692307692306,-0.009190130624092891,0.013234336802299325,10
ECOM,0.7,bootstrap_OOB,0.03204756461790503,0.007041896317473391,0.006581883555201946,0.13107692307692306,0.003337347061075903,0.01604099975733116,10
ECOM,0.8,SRSWOR_65_35,0.0317111091323906,0.003762438172980268,0.00511550301372893,0.14516129032258066,-0.014138188012349617,0.017102245637784112,10
ECOM,0.8,bootstrap_OOB,0.0317111091323906,0.0021329846987406488,0.004037850426760028,0.14516129032258066,-0.01170523615978123,0.010002511558872286,10
ECOM,0.9,SRSWOR_65_35,0.031226119864811504,0.0034995828273337816,0.006225066693839318,0.11559633027522935,0.016368479108934856,0.014275793313212206,10
ECOM,0.9,bootstrap_OOB,0.031226119864811504,0.0032852670124805332,0.0048678695662879,0.11559633027522935,0.016995580765348767,0.01419993969716516,10
