dataset,model,pretrained_FLR,pretrained_FLR_MCSE,pretrained_MMR,pretrained_MMR_MCSE,fine_tuned_FLR,fine_tuned_FLR_MCSE,fine_tuned_MMR,fine_tuned_MMR_MCSE
DBLP-Scholar,"Generative, kernel density",0.0428786200652996,0.002608130283648608,0.013524496074635128,0.0009445517622831951,0.04633694535319562,0.004392999696196438,0.011043066196045262,0.0011803560368175683
DBLP-Scholar,"Discriminative, logistic",0.009346491434028733,0.0026953878784100336,0.0682373339451366,0.002710213515523326,0.026210179224774383,0.0039500062730102896,0.026758520192863622,0.004234881341811426
DBLP-Scholar,Cross-encoder,0.06098450096011158,0.0025542576543186096,0.025968855664361468,0.0011011150504410617,0.017888263276959877,0.003072189600503798,0.014353033391241573,0.0009411686918177224
Abt-Buy,"Generative, kernel density",0.3271491952700069,0.004264330412566895,0.3561306223043746,0.0072642181901118865,0.12374062742563519,0.0008202171742150606,0.14479359211337028,0.0030807147258163914
Abt-Buy,"Discriminative, logistic",0.23264243102129523,0.020994892601300743,0.5434380776340111,0.05973409729200921,0.052634758302812314,0.0022978960428525373,0.2686383240911892,0.005877629090677428
Abt-Buy,Cross-encoder,0.26664528118381003,0.010218608472352638,0.2778804682686383,0.012322858903265566,0.04106021530067731,0.002288021993104894,0.1521873074553296,0.01304128803975153
