dataset,k,n_splits,FLR,FLR_sd,MMR,MMR_sd,FLR_MCSE,MMR_MCSE
Abt-Buy,5,3,0.05571971136285795,0.00835461029961097,0.21873074553296365,0.01572070341610977,0.004823536505454814,0.009076352349141247
Abt-Buy,50,3,0.04106021530067731,0.0039629703408926836,0.1521873074553296,0.022588173480989977,0.002288021993104894,0.01304128803975153
DBLP-Scholar,5,3,0.02239054964919074,0.006937864517484392,0.012975622922922017,0.0016652181208808472,0.0040055779467707674,0.00096141413035
DBLP-Scholar,50,3,0.017888263276959877,0.005321188478557309,0.014353033391241573,0.0016301519927214298,0.003072189600503798,0.0009411686918177224
