dataset,key_value_comparison,scoring_classification,k5_FLR,k5_FLR_MCSE,k5_MMR,k5_MMR_MCSE,k50_FLR,k50_FLR_MCSE,k50_MMR,k50_MMR_MCSE
Abt-Buy,"Bi-encoder, cosine","Discriminative, logistic",0.2475645201763106,0.01914382468598145,0.4787430683918669,0.05046357419456135,0.23264243102129523,0.020994892601300743,0.5434380776340111,0.05973409729200921
Abt-Buy,"Bi-encoder, cosine","Generative, kernel density",0.27819818181238015,0.00442084450899628,0.4245224892174984,0.006161429451632783,0.3271491952700069,0.004264330412566895,0.3561306223043746,0.0072642181901118865
Abt-Buy,"String, Jaro-Winkler","Discriminative, logistic",0.3427828313455967,0.027851977878829686,0.5970425138632162,0.03852248683263237,0.3381932883731292,0.008056065495504654,0.6623536660505237,0.04676602072494374
Abt-Buy,"String, Jaro-Winkler","Generative, kernel density",0.388675880089077,0.008937016504313087,0.5003080714725816,0.004313000616142946,0.4487999446575463,0.009682464019344588,0.5249537892791127,0.00747033620023542
DBLP-Scholar,"Bi-encoder, cosine","Discriminative, logistic",0.015550522510453857,0.003764058564083808,0.056044220910272724,0.0028477015040809855,0.009346491434028733,0.0026953878784100336,0.0682373339451366,0.002710213515523326
DBLP-Scholar,"Bi-encoder, cosine","Generative, kernel density",0.023076963990904826,0.0012584249537881307,0.017952515178397205,0.0014634203329490017,0.0428786200652996,0.002608130283648608,0.013524496074635128,0.0009445517622831951
DBLP-Scholar,"String, Jaro-Winkler","Discriminative, logistic",0.030272106555058593,0.0038168003771101365,0.03616255001850085,0.002965988702469633,0.02659438978945668,0.0026880595203317504,0.049991298410270724,0.0034090785541574953
DBLP-Scholar,"String, Jaro-Winkler","Generative, kernel density",0.0339832397672426,0.0026391660699153956,0.018498944681055656,0.00047075002857301454,0.04642027911388158,0.0030924232760341126,0.012702408171592775,0.0002368912504408951
