dataset,quartile,model,n_splits,FLR_mean,FLR_sd,MMR_mean,MMR_sd,legacy_psi_mean,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,FLR_se,MMR_se
DBLP-Scholar,Q1,Cross-encoder,3,0.0332141984485362,0.0046912939071759,0.0293150101924264,0.0017374934764782,0.0186634292733045,251.0,242.66666666666663,8.333333333333334,4.666666666666667,250.0,0.0027085198001556,0.0010031423263599
DBLP-Scholar,Q1,Logistic regression,3,0.0374951481772882,0.0259234459698358,0.0452090173257586,0.0072315187365494,0.033247198107433,248.0,238.66666666666663,9.333333333333334,8.333333333333334,250.0,0.0149669085090074,0.0041751192891966
DBLP-Scholar,Q2,Cross-encoder,3,0.0342524559177827,0.0172956719201738,0.0217521752175217,0.0016889184292225,0.0119404797622619,310.3333333333333,299.6666666666667,10.666666666666666,3.6666666666666665,306.3333333333333,0.0099856608389278,0.0009750975097509
DBLP-Scholar,Q2,Logistic regression,3,0.0314638179300902,0.0106731286922939,0.0630920234880631,0.0045532199564047,0.0500514337148,296.3333333333333,287.0,9.333333333333334,15.333333333333334,306.3333333333333,0.0061621337235914,0.0026288027675098
DBLP-Scholar,Q3,Cross-encoder,3,0.0082496827045113,0.0017486378869537,0.0102944361630292,0.0047062488855624,0.0102944361630292,323.0,320.3333333333333,2.6666666666666665,3.333333333333333,323.6666666666667,0.0010095765547479,0.0027171540609528
DBLP-Scholar,Q3,Logistic regression,3,0.0064143266644188,0.0032526420887235,0.0411809298118207,0.0138761426752201,0.0411809298118207,312.3333333333333,310.3333333333333,2.0,13.333333333333334,323.6666666666667,0.001877913785502,0.008011394708852
DBLP-Scholar,Q4,Cross-encoder,3,0.0,0.0,0.0,0.0,0.0,327.0,327.0,0.0,0.0,327.0,0.0,0.0
DBLP-Scholar,Q4,Logistic regression,3,0.0,0.0,0.0,0.0,0.0,327.0,327.0,0.0,0.0,327.0,0.0,0.0
Abt-Buy,Q1,Cross-encoder,3,0.1209948320413436,0.0147545841873634,0.3995098039215687,0.0594331159459908,0.3161764705882353,93.0,81.66666666666667,11.333333333333334,43.0,136.0,0.0085185631523552,0.034313725490196
Abt-Buy,Q1,Logistic regression,3,0.2301929804438837,0.0397290734075053,0.7058823529411765,0.0265114064372352,0.6176470588235294,52.0,40.0,12.0,84.0,136.0,0.0229375912264776,0.0153063676431333
Abt-Buy,Q2,Cross-encoder,3,0.0511428571428571,0.0197391147993323,0.1308641975308642,0.0260139598835869,0.0839506172839506,123.66666666666669,117.33333333333331,6.333333333333333,11.333333333333334,135.0,0.0113963832429594,0.015019166741477
Abt-Buy,Q2,Logistic regression,3,0.1013323243848271,0.0054154597101377,0.2592592592592592,0.0968644209675705,0.1753086419753086,111.33333333333331,100.0,11.333333333333334,23.666666666666668,135.0,0.0031266171214336,0.055924699520524
Abt-Buy,Q3,Cross-encoder,3,0.0157298126614987,0.0078462707596646,0.0716049382716049,0.0186415665068413,0.0567901234567901,127.33333333333331,125.33333333333331,2.0,7.666666666666667,135.0,0.0045300465352271,0.0107627134408411
Abt-Buy,Q3,Logistic regression,3,0.0172839506172839,0.0042766686606639,0.0172839506172839,0.0042766686606639,0.0,135.0,132.66666666666666,2.333333333333333,0.0,135.0,0.0024691358024691,0.0024691358024691
Abt-Buy,Q4,Cross-encoder,3,0.0,0.0,0.0049382716049382,0.0042766686606639,0.0049382716049382,134.33333333333334,134.33333333333334,0.0,0.6666666666666666,135.0,0.0,0.0024691358024691
Abt-Buy,Q4,Logistic regression,3,0.0,0.0,0.0,0.0,0.0,135.0,135.0,0.0,0.0,135.0,0.0,0.0
