dataset,k1_MMR,k5_MMR,k50_MMR,floor_zero_k
DBLP-Scholar,0.0153654485049833,0.002906976744186,0.0008305647840531,4514
Abt-Buy,0.2701202590194264,0.0823311748381128,0.0027752081406105,748
