model,DBLP_k5_FLR,DBLP_k5_FLR_MCSE,DBLP_k5_MMR,DBLP_k5_MMR_MCSE,DBLP_k50_FLR,DBLP_k50_FLR_MCSE,DBLP_k50_MMR,DBLP_k50_MMR_MCSE,Abt_k5_FLR,Abt_k5_FLR_MCSE,Abt_k5_MMR,Abt_k5_MMR_MCSE,Abt_k50_FLR,Abt_k50_FLR_MCSE,Abt_k50_MMR,Abt_k50_MMR_MCSE
Logistic,0.015550522510453857,0.003764058564083808,0.056044220910272724,0.0028477015040809855,0.009346491434028733,0.0026953878784100336,0.0682373339451366,0.002710213515523326,0.2475645201763106,0.01914382468598145,0.4787430683918669,0.05046357419456135,0.23264243102129523,0.020994892601300743,0.5434380776340111,0.05973409729200921
SVM,0.017216509145073666,0.0020699885765932276,0.04006079207367449,0.0037216360949969703,0.01836219649111374,0.0016923740927288179,0.04055283000532598,0.004808490782491771,0.25219010748961596,0.01702637418287708,0.59211337030191,0.027423552784063967,0.21055832788482495,0.023489525926547853,0.700554528650647,0.034794350963636464
XGB,0.03275709734877549,0.002962237820428134,0.020998765435890337,0.0014478495404954424,0.023782453377474238,0.00548796709880072,0.04141117074069789,0.004955089811674459,0.39873609345066113,0.009610821221347737,0.5378927911275415,0.01869869489278316,0.2959492233069319,0.012957350574374788,0.5514479359211336,0.023486282874363402
MLP,0.030047955112078584,0.002514205954987864,0.029559620695618388,0.001616752806761588,0.02614117476052517,0.0023534986457350326,0.033631439560293276,0.006576637801171628,0.25087805263345736,0.0111245988713453,0.43807763401109057,0.02376746952801715,0.22795683350552667,0.020212344304785457,0.5650030807147258,0.07043729333428815
