metric,dataset,f,target,SRSWOR_bias,SRSWOR_SE,bootstrap_bias,bootstrap_SE
FLR,Abt-Buy,0.5,0.0392217586336161,0.0013998934861584,0.0038611005653892,0.0011796338551982,0.0064370464825112
FLR,Abt-Buy,0.6,0.033971520902024,-0.0006356351971837,0.0061843262435396,0.0044863089548404,0.0060872562185865
FLR,Abt-Buy,0.7,0.0288474768992105,0.0067586980902724,0.0072945790860525,0.0083315621028352,0.0061113840803884
FLR,Abt-Buy,0.8,0.0334254975278998,0.0007148994395879,0.0049772694075075,0.0009142387654355,0.0036753823921892
FLR,Abt-Buy,0.9,0.0287503279511916,0.0042335009678383,0.0049162287254609,0.0061496165628968,0.0057004274430075
FLR,DBLP-Scholar,0.5,0.0167851458437375,0.0027343087871306,0.002608286010023,0.0037278797612188,0.00219274988029
FLR,DBLP-Scholar,0.6,0.0187841135382391,0.0053530084953975,0.002872592082414,0.0029908123473623,0.002467692425716
FLR,DBLP-Scholar,0.7,0.0144937867908653,0.0051655008458449,0.0034682213597187,0.0100808517362985,0.0033404347040721
FLR,DBLP-Scholar,0.8,0.0155142753612091,0.0029764869365983,0.0044732324509797,0.0079723329303154,0.0042605020989239
FLR,DBLP-Scholar,0.9,0.0146199381902369,0.0039013195584993,0.0032978728096477,0.0065247606600696,0.0026111139608316
MMR,Abt-Buy,0.5,0.1595194085027726,0.0145546655713014,0.0121745572240182,0.0099303302190511,0.0094436269166402
MMR,Abt-Buy,0.6,0.1678983833718244,0.0149209998880874,0.0139254678085082,-0.0037570745971466,0.0131681228599138
MMR,Abt-Buy,0.7,0.164,-0.0024905660377358,0.0077414438430179,0.0072503236330851,0.0093107876242966
MMR,Abt-Buy,0.8,0.1737327188940092,-0.0067360192240422,0.01359670061764,-0.0082144387435819,0.0078037520780334
MMR,Abt-Buy,0.9,0.1577981651376147,0.0075977292905378,0.0179613860252463,0.006997135731056,0.0164186210020428
MMR,DBLP-Scholar,0.5,0.0147443391514288,-0.0017337342929819,0.0014362988676769,0.0051547643724256,0.0022558903429686
MMR,DBLP-Scholar,0.6,0.0158553450201758,-0.0006237732103732,0.0021417446516389,-0.000408310908184,0.0015808512340607
MMR,DBLP-Scholar,0.7,0.0150563718425851,-0.0005349418070482,0.0032746216306491,0.0027687244100841,0.0028378611584444
MMR,DBLP-Scholar,0.8,0.0163412898131476,0.001325566186474,0.0027871063166059,0.0016412356929652,0.0033052729146592
MMR,DBLP-Scholar,0.9,0.0186531041424231,-0.0027143149856392,0.0032923139234353,-0.0032041746902814,0.0023795008734436
