dataset,paper_dataset,routing_rule,n_splits,phi_mean,phi_MCSE,FLR_mean,FLR_MCSE,MMR_mean,MMR_MCSE,ce_evaluations_mean,all_ce_evaluations_mean,ce_eval_reduction_mean
DBLP,DBLP-Scholar,Q25-train,3,0.2464322120285423,0.0033129459734964287,0.01684993270238566,0.0017584839083960241,0.03311647606772772,0.0025146662414341717,16116.666666666666,65400.0,0.7535677879714577
DBLP,DBLP-Scholar,Q50-train,3,0.4847094801223242,0.012303881452164416,0.017495983678245675,0.003431578613653547,0.023718366735494583,0.0034868425715581645,31700.0,65400.0,0.5152905198776758
ECOM,Abt-Buy,Q25-train,3,0.33271719038817005,0.011543434377815893,0.0495125817985563,0.0035066421155230242,0.14849044978434997,0.004812230237773661,9000.0,27050.0,0.6672828096118298
ECOM,Abt-Buy,Q50-train,3,0.589648798521257,0.014940672400470928,0.04206819759242216,0.0021483805360738174,0.1447935921133703,0.013763590821742848,15950.0,27050.0,0.4103512014787431
