aggregation,dataset,quartile,model,n_splits,lambda_mean,lambda_sd,lambda_min,lambda_max,psi_mean,psi_sd,psi_min,psi_max,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,lambda_se,psi_se
primary_3_seeds,DBLP,Q1,cross-encoder,3,0.06410234875843342,0.019207850652951493,0.04897959183673469,0.08571428571428572,0.027896503635977354,0.008341110993295167,0.021551724137931036,0.03734439834024896,244.33333333333334,228.66666666666666,15.666666666666666,6.666666666666667,238.33333333333334,0.011089657745035675,0.004815742677319512
primary_3_seeds,DBLP,Q1,two-step LR,3,0.020817677249336967,0.005128110318338795,0.014925373134328358,0.024271844660194174,0.13013971778556385,0.017096858586951036,0.1115702479338843,0.14522821576763487,207.33333333333334,203.0,4.333333333333333,31.0,238.33333333333334,0.002960715872727001,0.009870875907473146
primary_3_seeds,DBLP,Q2,cross-encoder,3,0.015888071060484853,0.009647691368982702,0.006349206349206349,0.02564102564102564,0.008413928672435863,0.0035054529764087655,0.006329113924050633,0.012461059190031152,315.3333333333333,310.3333333333333,5.0,2.6666666666666665,315.6666666666667,0.005570097208940593,0.002023874219561176
primary_3_seeds,DBLP,Q2,two-step LR,3,0.01900002212878266,0.014338085877575056,0.007220216606498195,0.03496503496503497,0.12260843958179891,0.010078663888983569,0.11214953271028037,0.13225806451612904,277.6666666666667,272.3333333333333,5.333333333333333,38.666666666666664,315.6666666666667,0.00827809774108193,0.005818919309376424
primary_3_seeds,DBLP,Q3,cross-encoder,3,0.0030832737953480987,0.0030769427385272086,0.0,0.006153846153846154,0.007160629593229356,0.004687716308523076,0.0030581039755351682,0.012269938650306749,324.6666666666667,323.6666666666667,1.0,2.3333333333333335,326.0,0.0017764737183697482,0.0027064542726103966
primary_3_seeds,DBLP,Q3,two-step LR,3,0.003064377009331138,0.0030581232771167053,0.0,0.0061162079510703364,0.01121930170165663,0.014448730922508228,0.0,0.027522935779816515,323.3333333333333,322.3333333333333,1.0,3.6666666666666665,326.0,0.0017656082972583903,0.008341978687558595
primary_3_seeds,DBLP,Q4,cross-encoder,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,327.0,0.0,0.0,327.0,0.0,0.0
primary_3_seeds,DBLP,Q4,two-step LR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,327.0,0.0,0.0,327.0,0.0,0.0
primary_3_seeds,ECOM,Q1,cross-encoder,3,0.07996075788806088,0.016519611090678163,0.0660377358490566,0.09821428571428571,0.17401960784313728,0.04784122866652728,0.125,0.22058823529411764,112.33333333333333,103.33333333333333,9.0,23.666666666666668,136.0,0.009537601910110965,0.027621146248981966
primary_3_seeds,ECOM,Q1,two-step LR,3,0.5491907619567195,0.08696806487573264,0.46808510638297873,0.6410256410256411,0.7254901960784315,0.0779319269391404,0.6544117647058824,0.8088235294117647,37.333333333333336,17.0,20.333333333333332,98.66666666666667,136.0,0.05021103566690508,0.04499401899677896
primary_3_seeds,ECOM,Q2,cross-encoder,3,0.04544650751547303,0.010492645125345855,0.03333333333333333,0.05172413793103448,0.12839506172839507,0.015419748144193574,0.1111111111111111,0.14074074074074075,117.66666666666667,112.33333333333333,5.333333333333333,17.333333333333332,135.0,0.006057931487629645,0.008902595741886394
primary_3_seeds,ECOM,Q2,two-step LR,3,0.3675014425365057,0.06833040041104459,0.2903225806451613,0.42028985507246375,0.5703703703703703,0.17419223727859035,0.45185185185185184,0.7703703703703704,58.0,35.666666666666664,22.333333333333332,77.0,135.0,0.03945057507115151,0.1005699350835373
primary_3_seeds,ECOM,Q3,cross-encoder,3,0.027717952431452614,0.012341399845256831,0.017241379310344827,0.04132231404958678,0.11358024691358025,0.023811483360476438,0.0962962962962963,0.14074074074074075,119.66666666666667,116.33333333333333,3.3333333333333335,15.333333333333334,135.0,0.007125310522835837,0.013747566327975367
primary_3_seeds,ECOM,Q3,two-step LR,3,0.24390064727093552,0.007044348093774095,0.2396694214876033,0.25203252032520324,0.2740740740740741,0.3080092279450636,0.08888888888888889,0.6296296296296297,98.0,74.0,24.0,37.0,135.0,0.004067056268205901,0.17782921066697127
primary_3_seeds,ECOM,Q4,cross-encoder,3,0.015434474199496992,0.0073510050125049665,0.007874015748031496,0.022556390977443608,0.04691358024691358,0.028043991831112464,0.014814814814814815,0.06666666666666667,128.66666666666666,126.66666666666667,2.0,6.333333333333333,135.0,0.004244104722784031,0.016191206232844448
primary_3_seeds,ECOM,Q4,two-step LR,3,0.07917425622343655,0.03342097495972671,0.044444444444444446,0.1111111111111111,0.03209876543209877,0.055596692588630627,0.0,0.0962962962962963,130.66666666666666,120.33333333333333,10.333333333333334,4.333333333333333,135.0,0.01929560888957796,0.03209876543209877
