aggregation,dataset,fraction,n_splits,seeds,lambda_mean,lambda_sd,lambda_se,lambda_cv,lambda_replication_cv,lambda_relative_mc_se,lambda_mc95_halfwidth,lambda_relative_mc95_halfwidth,lambda_min,lambda_max,psi_mean,psi_sd,psi_se,psi_cv,psi_replication_cv,psi_relative_mc_se,psi_mc95_halfwidth,psi_relative_mc95_halfwidth,psi_min,psi_max,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,n_holdout_mean,n_labelled_a_mean,n_fit_pairs_mean,n_validation_pairs_mean
primary_3_seeds,DBLP,0.5,3,"42,43,44",0.017888263276959845,0.0053211884785572955,0.00307218960050379,0.1717433130839919,0.2974681441216827,0.1717433130839919,0.006021491616987428,0.3366168936446241,0.014072847682119206,0.023966942148760332,0.009654066878484973,0.0028603618813925445,0.00165143070220173,0.17106062377526138,0.29628569155317735,0.17106062377526138,0.003236804176315391,0.3352788225995123,0.006688963210702341,0.012396694214876033,1211.3333333333333,1189.6666666666667,21.666666666666668,11.666666666666666,1207.0,1308.0,1308.0,46888.666666666664,11722.333333333334
primary_3_seeds,DBLP,0.6,3,"42,43,44",0.018081563184372363,0.009797161315202913,0.00565639372262659,0.31282658832922866,0.5418315449446572,0.31282658832922866,0.011086531696348115,0.613140113125288,0.007246376811594203,0.02631578947368421,0.007223436115840749,0.002710919545843674,0.0015651501295442633,0.21667667636901258,0.37529501228628853,0.21667667636901258,0.003067694253906756,0.42468628568326466,0.0051387461459403904,0.0102880658436214,973.6666666666666,956.0,17.666666666666668,7.0,968.6666666666666,1047.0,1569.0,56182.333333333336,14046.0
primary_3_seeds,DBLP,0.7,3,"42,43,44",0.013765506613802733,0.0072814709940332446,0.004203959238501546,0.30539807625287235,0.5289649846037692,0.30539807625287235,0.00823976010746303,0.5985802294556298,0.008207934336525308,0.02200825309491059,0.010079817417450265,0.0031834418162436868,0.0018379609895578038,0.1823407025583529,0.3158233611188716,0.1823407025583529,0.0036024035395332953,0.3573877770143717,0.008185538881309686,0.013755158184319119,726.6666666666666,716.6666666666666,10.0,7.333333333333333,727.6666666666666,785.0,1831.0,65614.33333333333,16404.0
primary_3_seeds,DBLP,0.8,3,"42,43,44",0.0211464891680099,0.0053269856047407586,0.0030755365728663384,0.14543958330061546,0.251908747708312,0.14543958330061546,0.006028051682818023,0.28506158326920633,0.016227180527383367,0.026804123711340205,0.0055112746742839855,0.0042890319582687166,0.0024762737556693515,0.44931053195802917,0.7782286697271062,0.44931053195802917,0.004853496561111929,0.8806486426377372,0.0020491803278688526,0.010309278350515464,489.3333333333333,479.0,10.333333333333334,2.6666666666666665,484.0,524.0,2092.0,75128.66666666667,18782.333333333332
primary_3_seeds,DBLP,0.9,3,"42,43,44",0.015215759349444788,0.006375688806680142,0.003681005648806064,0.24192060115227712,0.4190187725933498,0.24192060115227712,0.0072147710716598855,0.47416437825846314,0.008333333333333333,0.02092050209205021,0.013792955198608368,0.002376252626496052,0.0013719300935700507,0.09946600085444131,0.17228016710558172,0.09946600085444131,0.0026889829833972993,0.19495336167470495,0.012244897959183673,0.01652892561983471,241.0,237.33333333333334,3.6666666666666665,3.3333333333333335,241.66666666666666,262.0,2354.0,84588.33333333333,21147.333333333332
primary_3_seeds,ECOM,0.5,3,"42,43,44",0.038285802373978724,0.006822934338661218,0.003939222977089196,0.10288991565621523,0.17821056150304126,0.10288991565621523,0.007720877035094824,0.20166423468618186,0.03076923076923077,0.04408817635270541,0.1195317313616759,0.04072140885239263,0.023510516362709694,0.19668849513751463,0.3406744668424394,0.19668849513751463,0.046080612070911,0.38550945046952867,0.07763401109057301,0.1589648798521257,476.3333333333333,458.0,18.333333333333332,64.66666666666667,541.0,541.0,540.0,21596.333333333332,5399.666666666667
primary_3_seeds,ECOM,0.6,3,"42,43,44",0.03615071817671549,0.0045589905032112224,0.002632134394261947,0.07281001670271914,0.1261106482290481,0.07281001670271914,0.0051589834127534154,0.1427076327373295,0.032432432432432434,0.041237113402061855,0.15088529638183218,0.049872407503450386,0.028793847897251795,0.1908326960129086,0.3305319252397043,0.1908326960129086,0.05643594187861352,0.3740320841853008,0.10392609699769054,0.20323325635103925,367.6666666666667,354.3333333333333,13.333333333333334,65.33333333333333,433.0,433.0,648.0,25913.666666666668,6479.0
primary_3_seeds,ECOM,0.7,3,"42,43,44",0.030049978875856045,0.019838970238697653,0.011454034807757064,0.3811661517326364,0.6601991409264341,0.3811661517326364,0.022449908223203845,0.7470856573959673,0.007434944237918215,0.04452054794520548,0.12923076923076923,0.03780986377675233,0.021829535029531038,0.1689190210618473,0.2925763268439168,0.1689190210618473,0.042785888657880834,0.3310812812812207,0.10153846153846154,0.1723076923076923,283.0,274.3333333333333,8.666666666666666,42.0,325.0,325.0,756.0,30233.0,7558.666666666667
primary_3_seeds,ECOM,0.8,3,"42,43,44",0.03898111357855032,0.001489383963671892,0.0008598962323526787,0.022059303940096874,0.038207835203852104,0.022059303940096874,0.0016853966154112502,0.04323623572258987,0.0374331550802139,0.04040404040404041,0.1336405529953917,0.04396033186253206,0.02538050943449817,0.1899162257684863,0.3289445522127399,0.1899162257684863,0.04974579849161641,0.3722358025062331,0.08755760368663594,0.17511520737327188,188.0,180.66666666666666,7.333333333333333,29.0,217.0,217.0,864.0,34552.0,8638.333333333334
primary_3_seeds,ECOM,0.9,3,"42,43,44",0.04924242424242423,0.010021785269184057,0.005786080422924042,0.11750194089630364,0.20351933162035318,0.11750194089630364,0.011340717628931123,0.23030380415675514,0.041666666666666664,0.06060606060606061,0.13455657492354742,0.052167345899791995,0.03011883119815323,0.22383767731354784,0.3876982297552723,0.22383767731354784,0.05903290914838033,0.4387218475345538,0.09174311926605505,0.1926605504587156,94.33333333333333,89.66666666666667,4.666666666666667,14.666666666666666,109.0,109.0,972.0,38870.333333333336,9718.0
