aggregation,dataset,column,side,classifier,n_splits,lambda_mean,lambda_sd,lambda_min,lambda_max,psi_mean,psi_sd,psi_min,psi_max,threshold_mean,threshold_sd,threshold_min,threshold_max,validation_f1_mean,threshold_grid_low_count,threshold_grid_high_count,threshold_grid_extreme_count,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,n_train_pairs_mean,negative_to_positive_ratio_mean,fit_and_eval_seconds_mean,lambda_se,psi_se,threshold_grid_extreme_share,legacy_string_lambda_mean,legacy_string_psi_mean,lambda_delta_from_legacy_string,psi_delta_from_legacy_string
all_10_seeds,ECOM,k=50,string,SVM,3,0.144729,0.040188,0.102941,0.183099,0.881084,0.016772,0.868762,0.900185,0.133333,0.057735,0.1,0.2,0.184347,2,0,2,64.333333,55.0,9.333333,476.666667,541.0,26996.0,48.992593,12.035334,0.023203,0.009683,0.666667,0.14503333333333332,0.9106333333333333,-0.00030433333333332313,-0.029549333333333316
all_10_seeds,ECOM,k=50,bi-encoder,SVM,3,0.210558,0.040685,0.18125,0.257009,0.61984,0.077861,0.550832,0.704251,0.1,0.0,0.1,0.1,0.385933,3,0,3,205.666667,162.0,43.666667,335.333333,541.0,26996.0,48.992593,5.584971,0.02349,0.044953,1.0,0.14503333333333332,0.9106333333333333,0.06552466666666668,-0.29079333333333335
