aggregation,dataset,fraction,n_splits,seeds,lambda_mean,lambda_sd,lambda_se,lambda_cv,lambda_replication_cv,lambda_relative_mc_se,lambda_mc95_halfwidth,lambda_relative_mc95_halfwidth,lambda_min,lambda_max,psi_mean,psi_sd,psi_se,psi_cv,psi_replication_cv,psi_relative_mc_se,psi_mc95_halfwidth,psi_relative_mc95_halfwidth,psi_min,psi_max,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,n_holdout_mean,n_labelled_a_mean,n_fit_pairs_mean,n_validation_pairs_mean
available_cells,DBLP,0.5,10,"42,43,44,45,46,47,48,49,50,51",0.018303820806471895,0.004417068632044191,0.0013967997458543848,0.07631192200922891,0.24131948617429627,0.07631192200922891,0.002737727501874594,0.14957136713808866,0.01345668629100084,0.025556471558120363,0.008116653646666486,0.00421391557826044,0.0013325571094968507,0.1641756772563694,0.5191690765308309,0.1641756772563694,0.002611811934613827,0.32178432742248403,0.0016792611251049538,0.014214046822742474,1212.1,1189.9,22.2,9.8,1207.0,1308.0,1308.0,46885.3,11721.8
available_cells,DBLP,0.6,10,"42,43,44,45,46,47,48,49,50,51",0.018457428553019097,0.006553705561117205,0.002072463668724221,0.11228344526817775,0.35507143057829743,0.11228344526817775,0.004062028790699473,0.2200755527256284,0.007246376811594203,0.02631578947368421,0.00829499603137582,0.003288344343922653,0.001039865785772765,0.12536061281276967,0.39642506536283945,0.12536061281276967,0.0020381369401146197,0.24570680111302856,0.00411522633744856,0.015560165975103735,968.3,950.4,17.9,8.0,965.1,1047.0,1569.0,56319.7,14080.4
available_cells,DBLP,0.7,10,"42,43,44,45,46,47,48,49,50,51",0.013288593200886439,0.006078350208409151,0.0019221431074732068,0.14464609446732005,0.45741111316461125,0.14464609446732005,0.0037674004906474855,0.2835063451559473,0.005571030640668524,0.025,0.010913497841162878,0.003416777693710949,0.001080479977058377,0.0990040033712278,0.31307814812806867,0.0990040033712278,0.002117740755034419,0.19404784660760652,0.005502063273727648,0.015363128491620111,721.9,712.3,9.6,7.9,724.1,785.0,1831.0,65740.2,16435.6
available_cells,DBLP,0.8,10,"42,43,44,45,46,47,48,49,50,51",0.015923782348517018,0.007456340823393632,0.002357902001241918,0.14807424201333103,0.4682518675651228,0.14807424201333103,0.004621487922434159,0.29022551434612887,0.002066115702479339,0.026804123711340205,0.010574659171414666,0.00491105102614147,0.0015530106947914163,0.14686153658639917,0.4644169562851712,0.14686153658639917,0.0030439009617911758,0.28784861170934234,0.0020491803278688526,0.017057569296375266,483.2,475.5,7.7,5.1,483.5,524.0,2092.0,75143.3,18786.2
available_cells,DBLP,0.9,10,"42,43,44,45,46,47,48,49,50,51",0.01582324486477067,0.00964841266867021,0.0030510959838221377,0.19282365974220536,0.6097619515546849,0.19282365974220536,0.00598014812829139,0.3779343730947225,0.0,0.029045643153526972,0.010784372903678185,0.005279999814769627,0.0016696825459939172,0.15482425922275417,0.4895972961922337,0.15482425922275417,0.0032725777901480776,0.30345554807659814,0.004149377593360996,0.02100840336134454,240.8,237.0,3.8,2.6,241.1,262.0,2354.0,84611.2,21153.2
available_cells,ECOM,0.5,10,"42,43,44,45,46,47,48,49,50,51",0.03773772166639387,0.008188471599085432,0.0025894220808711102,0.06861628011785983,0.21698372974056393,0.06861628011785983,0.005075267278507376,0.13448790903100527,0.026200873362445413,0.05219206680584551,0.1321626617375231,0.02715576200990636,0.008587405954877605,0.0649760366655774,0.20547226919383693,0.0649760366655774,0.016831315671560106,0.1273530318645317,0.07763401109057301,0.16820702402957485,469.5,451.7,17.8,71.5,541.0,541.0,540.0,21595.0,5399.2
available_cells,ECOM,0.6,10,"42,43,44,45,46,47,48,49,50,51",0.03540793606245311,0.006034866818219049,0.0019083924521345525,0.05389730846690691,0.17043825450810376,0.05389730846690691,0.0037404492061837227,0.10563872459513753,0.0234375,0.04392764857881137,0.13348729792147807,0.031997234681253754,0.010118414041969363,0.07580057578153519,0.23970246742184906,0.07580057578153519,0.01983209152225995,0.14856912853180895,0.10161662817551963,0.20323325635103925,375.2,361.9,13.3,57.8,433.0,433.0,648.0,25913.3,6478.7
available_cells,ECOM,0.7,10,"42,43,44,45,46,47,48,49,50,51",0.03204756461790503,0.014226628675061827,0.004498855003865888,0.1403805580082166,0.4439223025113548,0.1403805580082166,0.00881775580757714,0.2751458936961046,0.007434944237918215,0.05226480836236934,0.13107692307692306,0.02470922284537935,0.007813742340406526,0.059611884052397215,0.1885093292194434,0.059611884052397215,0.01531493498719679,0.11683929274269853,0.10153846153846154,0.1723076923076923,282.4,273.3,9.1,42.6,325.0,325.0,756.0,30232.0,7558.5
available_cells,ECOM,0.8,10,"42,43,44,45,46,47,48,49,50,51",0.0317111091323906,0.006321855741044868,0.00199914631807134,0.06304245965428427,0.19935776180680956,0.06304245965428427,0.003918326783419826,0.12356322092239717,0.022988505747126436,0.04040404040404041,0.14516129032258066,0.03429664141592336,0.010845550296838005,0.07471379093377291,0.2362657519763609,0.07471379093377291,0.02125727858180249,0.14643903023019492,0.08755760368663594,0.19815668202764977,185.5,179.6,5.9,31.5,217.0,217.0,864.0,34551.1,8638.3
available_cells,ECOM,0.9,10,"42,43,44,45,46,47,48,49,50,51",0.031226119864811504,0.016204433013228426,0.005124291651342722,0.16410273429832217,0.5189384106441316,0.16410273429832217,0.010043611636631736,0.3216413592247115,0.010101010101010102,0.06060606060606061,0.11559633027522935,0.03518813422297865,0.01112746507563318,0.09626140422571561,0.3044052881194185,0.09626140422571561,0.02180983154824103,0.1886723522824026,0.08256880733944955,0.1926605504587156,96.4,93.4,3.0,12.6,109.0,109.0,972.0,38870.0,9718.0
