aggregation,dataset,column,k,n_splits,seeds,lambda_mean,lambda_sd,lambda_se,lambda_min,lambda_max,psi_mean,psi_sd,psi_se,psi_min,psi_max,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,n_train_pairs_full_mean,n_ce_train_pairs_mean,n_ce_validation_pairs_mean,negative_count_mean_full_mean,runtime_seconds_mean
all_10_seeds,DBLP,forced-1:1,1,10,42 43 44 45 46 47 48 49 50 51,0.026929818179010707,0.004327863100191331,0.001368590479800211,0.019867549668874173,0.03352891869237217,0.026199842034065578,0.006781844626817669,0.002144607575811847,0.013968775677896467,0.03526448362720403,1189.0,1157.0,32.0,31.6,1207.0,2402.0,1921.2,480.8,1.0,25.71346435546875
all_10_seeds,DBLP,k=5,5,10,42 43 44 45 46 47 48 49 50 51,0.02066343744604968,0.004226957092767635,0.001336681198494937,0.014814814814814815,0.030008110300081103,0.0069577969005023225,0.0017916954737682146,0.0005665838570522025,0.004132231404958678,0.00919732441471572,1214.2,1189.1,25.1,8.4,1207.0,4872.1,3897.4,974.7,3.0567239046268457,47.991636300086974
all_10_seeds,ECOM,forced-1:1,1,10,42 43 44 45 46 47 48 49 50 51,0.030244442503504256,0.006931683876668608,0.0021919909070538483,0.01956521739130435,0.04216867469879518,0.09722735674676526,0.022608332497479715,0.007149382479043888,0.07208872458410351,0.14972273567467653,488.4,473.6,14.8,52.6,541.0,1080.0,864.0,216.0,1.0,15.203257536888122
all_10_seeds,ECOM,k=5,5,10,42 43 44 45 46 47 48 49 50 51,0.05802677076295628,0.011320962304469329,0.003580002618703169,0.04377880184331797,0.08149779735682819,0.1744916820702403,0.019409969724217293,0.006137971364343694,0.14417744916820702,0.1977818853974122,446.6,420.6,26.0,94.4,541.0,2737.5,2189.5,548.0,4.069444444444445,28.878026008605957
