dataset,dataset_display,fraction,seed,scheme,target_FLR,inner_FLR,bias_FLR,target_MMR,inner_MMR,bias_MMR,outer_labelled_size,outer_holdout_size,inner_train_draw_size,inner_train_unique_size,inner_test_size,target_reused,target_source,analysis18_checkpoint_present_and_compatible,threshold,validation_f1,n_train_pairs_total,n_fit_pairs,n_validation_pairs,inner_declared,inner_false_links,inner_missing_matches,inner_n_true_records,train_seconds_this_run,evaluation_seconds,model_path,prediction_path,split_path,analysis,created_at,inner_correct,inner_test_ids_hash,inner_train_draw_hash,model_loaded_from_checkpoint,protocol_version,role
DBLP,DBLP-Scholar,0.5,42,bootstrap_OOB,0.014072847682119206,0.028824833702882482,0.014751986020763276,0.012396694214876033,0.013392857142857142,0.0009961629279811087,1308,1308,1308,817,491,True,analysis18_cell_prediction_manifest,True,0.8000000000000002,0.973305954825462,58869,47095,11774,451,13,6,448,291.78929233551025,13.500327587127686,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_42,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed42_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed42_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 13:49:50,438,f109cd3d54186c28eba8f52ff17e7070c27a56193a61abb789e394dfd1259f66,83e710b212420df8f956e850c1654e767fec73e252c9501ddb83c777341950fb,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,43,bootstrap_OOB,0.023966942148760332,0.013793103448275862,-0.01017383870048447,0.006688963210702341,0.009195402298850575,0.0025064390881482336,1308,1308,1308,839,469,True,analysis18_cell_prediction_manifest,True,0.7500000000000002,0.9665271966527197,58938,47150,11788,435,6,4,435,292.7933099269867,12.684009790420532,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_43,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed43_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed43_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 13:58:53,429,b04efc0889e128a6a21f2a202d89ce5bf28c1183aede59f3c42a67a70e92aec6,dff9222db292f6e0cff16d069fcc5f88601a27e7dfc2a0c862e17abc4e2903b6,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,44,bootstrap_OOB,0.015625,0.01809954751131222,0.002474547511312219,0.009876543209876543,0.009009009009009009,-0.0008675342008675341,1308,1308,1308,823,485,True,analysis18_cell_prediction_manifest,True,0.8500000000000002,0.9669421487603306,58150,46520,11630,442,8,4,444,290.593327999115,13.520032167434692,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_44,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed44_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed44_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 14:07:45,434,43d2bf6db0c735b747c99b9e3f15a51bc147305e7a82c20187720a56abbb6af8,7f857512bfd6c0f4516b2642c6e2dfa0d40abb22ce2fa95553032a807be11aac,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,45,bootstrap_OOB,0.013968775677896467,0.020594965675057208,0.0066261899971607405,0.00495458298926507,0.006928406466512702,0.0019738234772476325,1308,1308,1308,835,473,True,analysis18_cell_prediction_manifest,True,0.30000000000000004,0.9673469387755103,58429,46743,11686,437,9,3,433,297.6455090045929,13.18382215499878,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_45,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed45_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed45_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 14:16:56,428,7e80d83bdc5c57d89da59ad5622a6776a692e1190d8e8c8d9d0a14b14f75b856,2fc6faf866020a2a032e9d5328a986becd797cacbb6a0964b3f495d9b8aed8d7,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,46,bootstrap_OOB,0.025556471558120363,0.028384279475982533,0.00282780791786217,0.0016792611251049538,0.0087527352297593,0.007073474104654346,1308,1308,1308,823,485,True,analysis18_cell_prediction_manifest,True,0.7500000000000002,0.9496981891348089,58882,47105,11777,458,13,4,457,299.34376096725464,13.363279104232788,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_46,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed46_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed46_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 14:26:15,445,72cf1a11503d54baaf860fbf493fb45a568281a98af12c5179b3c7a61f2d5a26,7b9e45917cca0cb9d601478f9047bb71785bdacc3f433286e550736c99354863,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,47,bootstrap_OOB,0.022040816326530613,0.018018018018018018,-0.004022798308512595,0.008203445447087777,0.0045351473922902496,-0.003668298054797527,1308,1308,1308,830,478,True,analysis18_cell_prediction_manifest,True,0.9000000000000002,0.9707112970711297,57789,46231,11558,444,8,2,441,401.96050357818604,13.166328191757202,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_47,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed47_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed47_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 14:37:42,436,7d3127f3ef589485fb6759fd08f80ae149b147358518e2bd56b4a88844962384,3699989701042d810919043a0006a1726d7925890bb40e01543c0db3eaead761,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,48,bootstrap_OOB,0.01658374792703151,0.014018691588785047,-0.0025650563382464634,0.013245033112582781,0.020689655172413793,0.007444622059831011,1308,1308,1308,833,475,True,analysis18_cell_prediction_manifest,True,0.7000000000000002,0.970954356846473,58395,46716,11679,428,6,9,435,292.35095167160034,12.937112092971802,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_48,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed48_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed48_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 14:46:52,422,5f5c15a1c86f9e5dd2ddba752de1bf96f2d071d5951a09e0905bfc0c183a6eef,d25e6392dcaf645c76567b9fe87dca782e0b9c151f15906609cd81357e1671cb,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,49,bootstrap_OOB,0.01715686274509804,0.016867469879518072,-0.00028939286557996824,0.004108463434675432,0.016706443914081145,0.012597980479405715,1308,1308,1308,852,456,True,analysis18_cell_prediction_manifest,True,0.9000000000000002,0.9688149688149689,58085,46468,11617,415,7,7,419,299.1469819545746,13.06696343421936,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_49,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed49_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed49_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 14:56:02,408,bae40e506979c81ad9811b3ef04cf092c4c8de0c219acab399de0f0cf934f374,0e85f6b175cd6318536afdd9fd8a24036b703789ca4db49ee01ef7e3c3498a94,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,50,bootstrap_OOB,0.020610057708161583,0.024213075060532687,0.0036030173523711045,0.00579950289975145,0.0072992700729927005,0.0014997671732412503,1308,1308,1308,857,451,True,analysis18_cell_prediction_manifest,True,0.45000000000000007,0.9648033126293996,58918,47134,11784,413,10,3,411,326.0028667449951,13.012304782867432,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_50,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed50_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed50_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 15:05:36,403,b519971ff16b11eca6f68a6bc3d9ec9ecdc92db30548707425cdc2f17e7b6c0d,36a6e4b7e2d6519f1ef7c921f71f2dde2e02f8809b472cd7e745c8d444fbd49c,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,51,bootstrap_OOB,0.01345668629100084,0.01805869074492099,0.004602004453920151,0.014214046822742474,0.017937219730941704,0.0037231729081992296,1308,1308,1308,830,478,True,analysis18_cell_prediction_manifest,True,0.9000000000000002,0.970954356846473,58979,47183,11796,443,8,8,446,319.7030563354492,13.5626060962677,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_51,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed51_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed51_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 15:15:18,435,c82f1a9e5b2a39ffe191f7ead0b27d36e496665a1fa69b8d1ba07eb52181e6ab,84fbac23b062069e4a3267353f139842e558df6aa3ddbfce83983fe37546ff16,False,analysis22-v2-seeded-2026-07-28,inner
