aggregation,dataset,encoder,scorer,n_splits,lambda_mean,lambda_sd,lambda_min,lambda_max,psi_mean,psi_sd,psi_min,psi_max,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,lambda_se,psi_se
primary_3_seeds,DBLP,fine-tuned,LR,3,0.026210179224774397,0.006841611555069578,0.01929530201342282,0.03297609233305853,0.019039277383590073,0.005902023244524076,0.014214046822742474,0.0256198347107438,1206.3333333333333,1174.6666666666667,31.666666666666668,23.0,1207.0,0.003950006273010275,0.003407534708989404
primary_3_seeds,DBLP,fine-tuned,MEC,3,0.04633694535319561,0.007608898671446863,0.04156674660271783,0.05511182108626198,0.0016538499264308077,0.0008216367006476128,0.0008361204013377926,0.0024793388429752068,1251.6666666666667,1193.6666666666667,58.0,2.0,1207.0,0.004392999696196432,0.00047437217029497526
primary_3_seeds,DBLP,pre-trained,LR,3,0.009346491434028737,0.004668548751511488,0.0062724014336917565,0.01471861471861472,0.06079584057186165,0.008126349702085695,0.05185185185185185,0.0677257525083612,1135.3333333333333,1124.6666666666667,10.666666666666666,73.33333333333333,1207.0,0.002695387878410049,0.004691750188028212
primary_3_seeds,DBLP,pre-trained,MEC,3,0.042878620065299584,0.004517414164038456,0.038523274478330656,0.04754230459307011,0.0035907650312569065,0.0012629118503715044,0.0024691358024691358,0.0049586776859504135,1244.0,1190.6666666666667,53.333333333333336,4.333333333333333,1207.0,0.0026081302836486312,0.0007291424967747564
primary_3_seeds,ECOM,fine-tuned,LR,3,0.052634758302812314,0.003980072696732024,0.048426150121065374,0.056338028169014086,0.22797288971041282,0.013371863471479166,0.21256931608133087,0.2365988909426987,417.6666666666667,395.6666666666667,22.0,123.33333333333333,541.0,0.002297896042852514,0.007720248974825421
primary_3_seeds,ECOM,fine-tuned,MEC,3,0.1237406274256352,0.001420657818981034,0.1224105461393597,0.1252371916508539,0.024029574861367836,0.004890483014906822,0.018484288354898338,0.027726432532347505,528.0,462.6666666666667,65.33333333333333,13.0,541.0,0.0008202171742150466,0.002823521685123746
primary_3_seeds,ECOM,pre-trained,LR,3,0.2326424310212952,0.03636422068490478,0.1965065502183406,0.2692307692307692,0.40110905730129387,0.1527052831964723,0.29944547134935307,0.5767097966728281,324.0,247.0,77.0,217.0,541.0,0.020994892601300733,0.08816443636016133
primary_3_seeds,ECOM,pre-trained,MEC,3,0.32714919527000685,0.0073860369348270095,0.3193116634799235,0.3339805825242718,0.04313000616142945,0.008537527085983373,0.033271719038817,0.04805914972273567,517.6666666666666,348.3333333333333,169.33333333333334,23.333333333333332,541.0,0.004264330412566892,0.0049291435613062215
