dataset,n_splits,FLR,MMR,FLR_sd,MMR_sd,FLR_se,MMR_se
DBLP,3,0.06098450096011158,0.025968855664361468,0.004424104032901534,0.0019071872123426858,0.0025542576543186096,0.0011011150504410617
ECOM,3,0.2653944598189363,0.27664818237831174,0.018324734049838604,0.021896926240193324,0.01057979013650262,0.012642196259200997
