FLR,MMR,analysis,correct,dataset,declared,false_links,fraction,legacy_psi,missing_matches,model_path,n_fit_pairs,n_holdout,n_labelled_a,n_train_pairs_total,n_true_records,n_validation_pairs,prediction_path,score_path,seed,source_cell_path,source_prediction_path,threshold,threshold_sigmoid_equivalent,training_performed,validation_f1
0.025406504065040636,0.014388489208633115,analysis18_section7_direct,959,DBLP,984,25,0.6,0.008221993833504625,8,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_42,56019,1047,1569,70024,973,14005,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed42.csv,CrossEncoder.predict,42,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed42.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed42.csv,0.1,0.52497918747894,False,0.9166666666666666
0.019668737060041352,0.014568158168574374,analysis18_section7_direct,947,DBLP,966,19,0.6,0.006243496357960458,6,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_43,56489,1047,1569,70612,961,14123,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed43.csv,CrossEncoder.predict,43,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed43.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed43.csv,0.1,0.52497918747894,False,0.9365351629502573
0.01336073997944498,0.012345679012345734,analysis18_section7_direct,960,DBLP,973,13,0.6,0.00823045267489712,8,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_44,56039,1047,1569,70049,972,14010,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed44.csv,CrossEncoder.predict,44,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed44.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed44.csv,0.6500000000000001,0.6570104626734988,False,0.9383561643835616
0.011482254697286032,0.01763485477178428,analysis18_section7_direct,947,DBLP,958,11,0.6,0.013485477178423237,13,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_45,56375,1047,1569,70469,964,14094,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed45.csv,CrossEncoder.predict,45,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed45.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed45.csv,0.6000000000000002,0.6456563062257955,False,0.9365351629502573
0.017763845350052265,0.010526315789473717,analysis18_section7_direct,940,DBLP,957,17,0.6,0.007368421052631579,7,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_46,56920,1047,1569,71151,950,14231,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed46.csv,CrossEncoder.predict,46,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed46.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed46.csv,0.7000000000000002,0.6681877721681662,False,0.9008403361344538
0.017561983471074405,0.019587628865979423,analysis18_section7_direct,951,DBLP,968,17,0.6,0.01134020618556701,11,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_47,56130,1047,1569,70163,970,14033,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed47.csv,CrossEncoder.predict,47,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed47.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed47.csv,0.1,0.52497918747894,False,0.9517241379310345
0.014477766287487093,0.016511867905056765,analysis18_section7_direct,953,DBLP,967,14,0.6,0.008255933952528379,8,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_48,56111,1047,1569,70139,969,14028,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed48.csv,CrossEncoder.predict,48,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed48.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed48.csv,0.1,0.52497918747894,False,0.9290540540540541
0.02238046795523907,0.011316872427983515,analysis18_section7_direct,961,DBLP,983,22,0.6,0.00411522633744856,4,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_49,56067,1047,1569,70084,972,14017,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed49.csv,CrossEncoder.predict,49,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed49.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed49.csv,0.8500000000000002,0.700567142473973,False,0.927487352445194
0.022774327122153215,0.019730010384215957,analysis18_section7_direct,944,DBLP,966,22,0.6,0.009345794392523364,9,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_50,56388,1047,1569,70486,963,14098,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed50.csv,CrossEncoder.predict,50,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed50.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed50.csv,0.1,0.52497918747894,False,0.9262435677530018
0.022964509394572064,0.021943573667711602,analysis18_section7_direct,936,DBLP,958,22,0.6,0.013584117032392894,13,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_51,56659,1047,1569,70824,957,14165,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7_direct/predictions/direct_DBLP_f0p60_seed51.csv,CrossEncoder.predict,51,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/cells/fraction_DBLP_f0p60_seed51.json,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed51.csv,0.45000000000000007,0.610639233949222,False,0.9296740994854202
