aggregation,dataset,fraction,n_splits,FLR_mean,FLR_sd,MMR_mean,MMR_sd,legacy_psi_mean,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,FLR_se,MMR_se
primary_3_seeds,DBLP,0.5,3,0.017888263276959877,0.005321188478557309,0.014353033391241573,0.0016301519927214298,0.009654066878484973,1211.3333333333333,1189.6666666666667,21.666666666666668,11.666666666666666,1207.0,0.003072189600503798,0.0009411686918177224
primary_3_seeds,DBLP,0.6,3,0.019478660368175655,0.0060251311158388485,0.013767442129851074,0.001234555792791671,0.0075653142887874,974.3333333333334,955.3333333333334,19.0,7.333333333333333,968.6666666666666,0.0034786110716323497,0.0007127711192978832
primary_3_seeds,DBLP,0.7,3,0.014665879220025305,0.007585458811338685,0.014668830899386531,0.0021963266786774265,0.009617559031901752,727.6666666666666,717.0,10.666666666666666,7.0,727.6666666666666,0.0043794666866532085,0.001268049799162769
primary_3_seeds,DBLP,0.8,3,0.017767544679352782,0.012008705896040823,0.012401821227043697,0.0036003375171057383,0.008239289997364375,486.6666666666667,478.0,8.666666666666666,4.0,484.0,0.006933229581698216,0.002078655834674507
primary_3_seeds,DBLP,0.9,3,0.01526048870447209,0.00868196140445982,0.020635692293446306,0.006873952684459117,0.017874587851669593,240.33333333333334,236.66666666666666,3.6666666666666665,4.333333333333333,241.66666666666666,0.005012532753958819,0.003968678432769222
primary_3_seeds,ECOM,0.5,3,0.04106021530067731,0.0039629703408926836,0.1521873074553296,0.022588173480989977,0.11583487369069624,478.3333333333333,458.6666666666667,19.666666666666668,62.666666666666664,541.0,0.002288021993104894,0.01304128803975153
primary_3_seeds,ECOM,0.6,3,0.03839788451309426,0.0056214900501038445,0.17090069284064666,0.019732110266322243,0.1377983063895304,373.3333333333333,359.0,14.333333333333334,59.666666666666664,433.0,0.0032455687936742577,0.011392339173940525
primary_3_seeds,ECOM,0.7,3,0.02845681547268401,0.012144405067653057,0.16205128205128205,0.009400155271704262,0.13743589743589743,280.3333333333333,272.3333333333333,8.0,44.666666666666664,325.0,0.007011575534957348,0.005427182176542735
primary_3_seeds,ECOM,0.8,3,0.0363039738039738,0.00770665847406587,0.1858678955453149,0.03458780414500064,0.1551459293394777,183.33333333333334,176.66666666666666,6.666666666666667,33.666666666666664,217.0,0.004449441344554441,0.019969278033794176
primary_3_seeds,ECOM,0.9,3,0.0431136382163528,0.009437925963056065,0.1896024464831804,0.037077540223186975,0.15290519877675843,92.33333333333333,88.33333333333333,4.0,16.666666666666668,109.0,0.005448989095362178,0.02140672782874618
