dataset,paper_dataset,n_splits,FLR_mean,FLR_sd,FLR_MCSE,MMR_mean,MMR_sd,MMR_MCSE
DBLP,DBLP-Scholar,3,0.06098450096011158,0.004424104032901535,0.00255425765431861,0.025968855664361468,0.0019071872123426858,0.0011011150504410617
ECOM,Abt-Buy,3,0.26664528118381003,0.01769914905676856,0.010218608472352638,0.2778804682686383,0.021343817714958455,0.012322858903265567
